order_id,customer_id,restaurant_id,order_time,delivery_time,customer_location,restaurant_location,order_value,rating
9754124,314,63,2024-05-03 15:22:09,2024-05-03 16:13:09,Address 74,Restaurant 63,11.3,3
3745447,583,99,2024-04-08 05:28:09,2024-04-08 07:20:09,Address 72,Restaurant 99,46.53,5
2479684,118,46,2024-04-28 06:35:09,2024-04-28 07:49:09,Address 1,Restaurant 46,19.97,2
3495922,497,51,2024-05-02 14:58:09,2024-05-02 16:33:09,Address 90,Restaurant 51,26.62,5
5657684,601,77,2024-04-26 18:13:09,2024-04-26 19:43:09,Address 82,Restaurant 77,11.0,2
1965227,531,97,2024-04-22 01:58:09,2024-04-22 03:13:09,Address 29,Restaurant 97,10.24,4
4718493,778,97,2024-05-02 19:01:09,2024-05-02 20:09:09,Address 5,Restaurant 97,35.04,5
4736415,553,18,2024-04-19 20:44:09,2024-04-19 21:00:09,Address 9,Restaurant 18,11.93,2
2961112,970,31,2024-04-11 14:06:09,2024-04-11 14:40:09,Address 5,Restaurant 31,11.01,2
4172603,669,25,2024-04-27 10:41:09,2024-04-27 11:18:09,Address 1,Restaurant 25,38.29,4
6972303,516,71,2024-04-19 11:29:09,2024-04-19 12:04:09,Address 40,Restaurant 71,48.2,5
2421506,536,84,2024-04-19 06:03:09,2024-04-19 07:50:09,Address 57,Restaurant 84,28.81,2
725790,414,89,2024-05-02 09:50:09,2024-05-02 10:02:09,Address 9,Restaurant 89,15.2,5
2095067,949,66,2024-04-26 16:21:09,2024-04-26 17:51:09,Address 21,Restaurant 66,16.89,2
861392,410,84,2024-04-20 17:21:09,2024-04-20 17:58:09,Address 37,Restaurant 84,12.78,4
6071356,646,17,2024-04-20 04:17:09,2024-04-20 05:49:09,Address 23,Restaurant 17,9.5,3
1976657,115,26,2024-04-08 17:41:09,2024-04-08 18:21:09,Address 85,Restaurant 26,46.17,2
7589326,202,83,2024-04-30 09:45:09,2024-04-30 11:05:09,Address 9,Restaurant 83,33.46,2
6188751,919,83,2024-04-22 09:04:09,2024-04-22 10:11:09,Address 20,Restaurant 83,39.54,4
5046301,276,1,2024-04-16 18:39:09,2024-04-16 19:32:09,Address 72,Restaurant 1,36.48,5
3143274,315,5,2024-05-03 16:02:09,2024-05-03 16:33:09,Address 81,Restaurant 5,28.56,1
349132,295,90,2024-04-06 15:31:09,2024-04-06 16:19:09,Address 12,Restaurant 90,49.52,3
9876850,256,58,2024-05-01 10:22:09,2024-05-01 11:40:09,Address 4,Restaurant 58,10.13,1
5957870,283,93,2024-05-04 20:37:09,2024-05-04 21:09:09,Address 42,Restaurant 93,20.83,3
3723435,673,68,2024-04-26 03:14:09,2024-04-26 04:25:09,Address 29,Restaurant 68,25.14,4
4068535,517,99,2024-04-24 17:57:09,2024-04-24 18:11:09,Address 79,Restaurant 99,41.51,1
2607877,974,71,2024-04-23 18:17:09,2024-04-23 19:18:09,Address 35,Restaurant 71,11.05,4
5591845,841,42,2024-04-09 01:03:09,2024-04-09 02:35:09,Address 91,Restaurant 42,35.41,3
6581277,542,47,2024-04-30 01:29:09,2024-04-30 02:48:09,Address 58,Restaurant 47,29.09,1
